Label,p1_sets,p2_sets,p1_games,p2_games,p1_double_fault,p1_unf_err,p2_unf_err,rally_count,speed_mph,serve_width_B,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_CTL,serve_depth_NCTL,distance_diff,p2_distance_run,p1_distance_run
0,0,0,2,2,0,1,0,2,111.0,1,0,0,0,0,1,0,2.58,11.439,8.859
0,1,0,0,1,0,0,0,2,129.0,1,0,0,0,0,0,1,2.3550000000000004,10.59,8.235
1,1,0,1,4,0,0,0,2,115.0,0,0,0,1,0,0,1,8.25,14.617,6.367
0,1,0,4,5,0,0,0,5,119.0,0,0,0,1,0,0,1,5.217000000000002,24.158,18.941
0,1,1,0,0,1,1,0,0,116.13148788927336,1,0,0,0,0,1,0,1.2439999999999998,6.694,5.45
1,2,1,1,4,1,1,0,0,116.13148788927336,0,0,0,1,0,0,1,7.567,14.763,7.196
0,0,0,3,4,0,1,0,2,98.0,0,1,0,0,0,0,1,1.1800000000000006,7.371,6.191
1,0,2,1,2,0,0,0,1,131.0,0,1,0,0,0,0,1,-1.8499999999999996,3.979,5.829
0,0,0,2,3,0,1,0,2,120.0,0,0,1,0,0,1,0,0.41999999999999993,10.399,9.979
1,0,1,2,3,0,1,0,6,98.0,0,0,1,0,0,0,1,6.16,26.461,20.301
0,0,1,2,3,0,1,0,30,94.0,0,0,0,1,0,0,1,8.862000000000009,117.87,109.008
1,0,2,0,0,0,0,0,7,91.0,0,0,0,1,0,0,1,4.7379999999999995,41.442,36.704
0,0,0,3,3,0,1,0,2,101.0,0,0,0,0,1,1,0,3.4300000000000006,11.092,7.662
1,0,1,2,1,0,0,0,1,104.0,0,0,0,0,1,1,0,0.4099999999999999,1.575,1.165
0,2,1,0,2,0,0,0,6,107.0,0,0,0,0,1,0,1,-0.4750000000000014,29.604,30.079
1,2,1,2,4,0,0,0,1,106.0,0,0,0,0,1,1,0,0.2839999999999999,1.148,0.864
0,0,0,1,1,0,0,0,10,121.0,0,0,0,1,0,1,0,2.937999999999999,28.898,25.96
1,0,0,3,5,0,0,0,1,108.0,0,0,1,0,0,0,1,1.3529999999999998,4.249,2.896
0,0,0,3,5,0,0,0,1,116.0,0,0,1,0,0,0,1,1.891,7.499,5.608
1,0,1,1,1,0,0,0,2,111.0,0,0,0,0,1,0,1,4.027,10.073,6.046
0,2,1,4,3,0,1,0,4,124.0,0,0,0,1,0,0,1,4.325000000000001,18.577,14.252
0,2,0,5,5,0,1,0,2,119.0,0,0,0,0,1,1,0,3.7239999999999993,10.946,7.222
0,0,0,0,0,0,0,0,1,124.0,0,0,0,1,0,1,0,-0.20699999999999985,6.337,6.544
0,2,0,2,2,0,0,0,1,124.0,0,0,0,1,0,0,1,0.8519999999999994,5.661,4.809
0,2,0,5,5,0,0,0,1,118.0,0,1,0,0,0,0,1,-1.4969999999999999,4.659,6.156
1,2,0,6,6,0,0,0,1,124.0,0,0,0,1,0,0,1,-0.3769999999999998,4.276,4.653
0,0,0,3,4,0,0,0,7,122.0,0,0,0,0,1,1,0,4.285999999999998,32.635,28.349
1,0,1,1,0,0,0,0,1,103.0,0,0,0,0,1,1,0,1.5710000000000002,4.884,3.313
0,0,0,0,1,0,0,0,1,105.0,1,0,0,0,0,1,0,0.9069999999999996,4.047,3.14
0,0,0,1,2,0,0,0,4,124.0,0,1,0,0,0,0,1,-0.9269999999999996,9.478,10.405
0,1,1,1,1,0,0,0,1,126.0,0,0,0,1,0,1,0,-0.345,0.511,0.856
1,0,0,1,0,0,1,0,4,112.0,0,0,0,1,0,0,1,2.7249999999999996,18.648,15.923
1,0,0,2,1,0,0,0,5,97.0,1,0,0,0,0,0,1,5.892999999999997,22.531,16.638
1,0,0,4,5,1,1,0,0,107.6692607003891,0,1,0,0,0,1,0,0.18200000000000005,0.797,0.615
0,0,0,4,5,0,0,0,1,120.0,0,0,0,0,1,0,1,2.4859999999999998,8.081,5.595
1,0,1,2,1,0,0,0,1,122.0,0,0,0,1,0,1,0,-0.06700000000000017,9.902,9.969
1,1,1,4,5,0,0,0,15,113.0,0,0,0,1,0,0,1,-2.0349999999999966,62.241,64.276
0,1,1,0,0,0,0,0,1,125.0,1,0,0,0,0,1,0,-1.2170000000000005,6.286,7.503
1,1,1,4,4,0,0,0,7,84.0,0,1,0,0,0,0,1,-0.9269999999999996,20.774,21.701
1,0,0,2,1,0,1,0,4,101.0,0,0,1,0,0,0,1,1.802999999999999,12.277,10.474
0,2,0,3,3,0,0,0,5,100.0,0,0,0,1,0,0,1,6.611999999999998,23.174,16.562
0,0,1,1,1,0,1,0,4,117.0,0,0,0,1,0,1,0,6.066999999999998,20.548,14.481
1,0,1,3,5,0,0,0,3,92.0,0,0,0,1,0,0,1,1.5530000000000008,11.855,10.302
0,0,2,0,0,0,1,0,2,113.0,0,0,1,0,0,1,0,0.883,6.009,5.126
1,0,2,3,5,0,0,0,3,111.0,0,1,0,0,0,1,0,6.607000000000001,17.57,10.963
1,0,2,1,2,0,0,1,3,87.0,0,0,1,0,0,0,1,-3.2319999999999993,10.922,14.154
1,0,2,6,6,0,0,0,3,95.0,0,1,0,0,0,0,1,0.6590000000000007,10.32,9.661
0,0,0,3,4,0,1,0,6,128.0,0,1,0,0,0,0,1,1.031000000000006,40.206,39.175
1,0,1,1,1,0,0,0,1,111.0,0,0,0,0,1,0,1,1.4719999999999995,4.116,2.644
1,0,1,3,1,0,0,0,1,102.0,1,0,0,0,0,1,0,-1.7000000000000002,4.046,5.746
1,1,1,2,1,0,0,0,3,99.0,0,0,0,1,0,0,1,7.363000000000001,18.547,11.184
0,2,1,2,2,0,0,0,3,95.0,0,1,0,0,0,0,1,0.2759999999999998,6.341,6.065
1,2,1,3,3,0,0,0,3,115.0,0,0,0,0,1,1,0,4.427,16.369,11.942
0,0,0,0,0,0,0,0,5,120.0,0,0,1,0,0,0,1,4.498999999999999,22.066,17.567
1,0,0,1,1,0,0,0,3,98.0,1,0,0,0,0,0,1,1.1010000000000009,9.973,8.872
1,0,0,3,3,0,0,0,14,112.0,0,0,0,1,0,0,1,-4.594999999999999,53.012,57.607
1,1,0,5,6,0,0,0,5,94.0,0,1,0,0,0,0,1,0.8099999999999987,24.009,23.199
1,1,1,3,3,0,0,0,5,126.0,0,0,0,1,0,0,1,2.6389999999999993,17.128,14.489
0,1,1,5,5,0,0,0,1,123.0,0,0,0,1,0,1,0,7.8359999999999985,30.415,22.579
0,0,0,3,2,0,0,0,1,110.0,0,0,0,0,1,1,0,1.9370000000000003,4.833,2.896
0,0,0,3,5,0,0,0,1,96.0,0,0,1,0,0,0,1,-1.3250000000000002,3.75,5.075
1,0,1,2,3,0,0,0,3,117.0,0,1,0,0,0,0,1,0.6350000000000016,8.816,8.181
0,1,1,2,2,0,1,0,2,91.0,0,0,0,0,1,1,0,3.1929999999999996,11.434,8.241
1,1,2,2,3,0,0,0,3,121.0,0,0,0,1,0,1,0,0.32200000000000095,13.445,13.123
1,0,0,2,3,0,0,0,4,104.0,0,0,1,0,0,0,1,0.48499999999999943,11.891,11.406
0,0,0,2,3,0,0,0,11,95.0,0,0,1,0,0,0,1,-11.491,48.045,59.536
1,0,1,1,1,0,0,0,3,127.0,0,0,0,1,0,0,1,1.5519999999999996,9.95,8.398
1,0,1,4,2,0,0,0,5,102.0,0,0,1,0,0,0,1,4.9830000000000005,25.137,20.154
1,1,1,1,0,0,0,0,3,118.0,0,0,0,0,1,1,0,4.469000000000001,12.496,8.027
0,2,1,2,2,0,0,1,3,93.0,0,0,0,1,0,0,1,-1.5470000000000006,10.683,12.23
0,0,0,2,2,0,0,0,1,115.0,0,0,0,0,1,1,0,2.5500000000000007,12.407,9.857
1,1,0,0,0,0,0,0,8,110.0,0,0,1,0,0,0,1,-7.756,37.085,44.841
0,1,0,2,2,0,0,0,1,130.0,0,1,0,0,0,0,1,0.42500000000000027,4.158,3.733
0,2,0,0,1,0,0,0,3,125.0,1,0,0,0,0,0,1,1.617,8.436,6.819
1,2,2,4,3,0,0,0,1,113.0,0,0,0,0,1,1,0,-0.2919999999999998,8.84,9.132
1,0,1,2,3,0,0,0,1,113.0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,0,2,0,0,0,0,0,5,121.0,0,0,0,1,0,0,1,1.0849999999999973,18.002,16.917
1,0,2,4,4,0,0,0,1,119.0,0,0,0,0,1,1,0,-0.0050000000000000044,0.857,0.862
1,1,2,2,2,0,0,0,3,129.0,0,0,0,1,0,0,1,1.2350000000000012,13.06,11.825
0,1,2,3,3,0,0,0,8,125.0,0,0,0,0,1,1,0,0.10699999999999932,35.281,35.174
0,1,0,1,2,0,0,0,1,122.0,0,0,0,0,1,1,0,-0.031000000000000028,0.883,0.914
1,1,1,0,0,0,1,0,2,95.0,0,1,0,0,0,0,1,3.477000000000001,9.96,6.483
0,1,1,0,0,0,0,0,4,93.0,0,0,1,0,0,0,1,1.133000000000001,14.506,13.373
1,1,2,0,0,0,0,0,1,111.0,0,0,0,0,1,1,0,0.4670000000000001,1.294,0.827
0,1,2,2,2,0,0,1,3,104.0,0,1,0,0,0,1,0,2.460000000000001,10.727,8.267
1,1,1,4,2,0,0,0,1,129.0,0,0,0,1,0,1,0,0.44799999999999995,1.002,0.554
0,0,0,2,3,0,0,0,1,109.0,0,0,0,0,1,1,0,2.4669999999999996,6.736,4.269
0,1,1,2,2,0,0,0,2,126.0,0,0,0,1,0,1,0,0.6779999999999999,7.403,6.725
0,1,1,3,5,0,0,1,1,100.0,0,1,0,0,0,0,1,0.891,3.963,3.072
0,1,2,1,1,0,0,1,3,91.0,0,0,1,0,0,0,1,-1.1310000000000002,10.314,11.445
1,1,2,3,5,0,0,0,2,90.0,1,0,0,0,0,0,1,-0.11499999999999932,4.464,4.579
0,1,2,3,5,0,0,0,8,97.0,1,0,0,0,0,0,1,1.0429999999999993,36.025,34.982
1,0,0,3,3,0,0,0,11,97.0,0,0,1,0,0,0,1,16.098000000000006,52.45,36.352
1,2,0,5,3,0,0,0,4,115.0,0,0,0,1,0,0,1,-0.019000000000000128,14.277,14.296
1,0,1,2,4,0,1,0,10,102.0,1,0,0,0,0,0,1,-4.335000000000001,29.049,33.384
1,0,2,6,6,0,0,0,1,125.0,0,0,0,0,1,1,0,1.2179999999999995,4.14,2.922
1,2,2,2,1,0,0,0,1,110.0,0,0,1,0,0,0,1,0.8689999999999998,5.111,4.242
